epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
161,12814.1,0.26109,0.17422,0.78019,0.97478,0.94954,0.98396,0.85171,0.59536,0.25906,0.84528,0.00208,0.00208,0.00208
162,12893,0.2383,0.16413,0.77526,0.97436,0.94947,0.98384,0.85186,0.59458,0.25897,0.84528,0.0020305,0.0020305,0.0020305
163,12972.4,0.22455,0.15613,0.77307,0.97612,0.94829,0.98384,0.85211,0.59473,0.25915,0.84528,0.001981,0.001981,0.001981
164,13051.2,0.21625,0.15258,0.77138,0.98152,0.94362,0.98377,0.85203,0.59462,0.25886,0.8452,0.0019315,0.0019315,0.0019315
165,13129.5,0.20766,0.14759,0.76955,0.98153,0.94349,0.98376,0.85238,0.5943,0.25875,0.84525,0.001882,0.001882,0.001882
166,13208.2,0.20096,0.14312,0.76811,0.98319,0.9422,0.98367,0.85226,0.59411,0.25832,0.8453,0.0018325,0.0018325,0.0018325
167,13287.5,0.19728,0.14125,0.76767,0.98293,0.94202,0.9836,0.85189,0.5941,0.25834,0.84525,0.001783,0.001783,0.001783
168,13366.4,0.19255,0.13868,0.76698,0.98348,0.9423,0.98359,0.85231,0.59395,0.25843,0.8453,0.0017335,0.0017335,0.0017335
169,13445.4,0.18805,0.13493,0.76603,0.98212,0.9431,0.98358,0.85262,0.59337,0.25813,0.84534,0.001684,0.001684,0.001684
170,13524,0.1839,0.1332,0.7647,0.98307,0.94255,0.98359,0.85249,0.5936,0.2581,0.84545,0.0016345,0.0016345,0.0016345
171,13602.9,0.17955,0.13073,0.76421,0.98296,0.94269,0.98352,0.85259,0.59329,0.25834,0.84552,0.001585,0.001585,0.001585
172,13682.3,0.17862,0.13035,0.76443,0.98308,0.94251,0.98352,0.85253,0.5934,0.25807,0.84556,0.0015355,0.0015355,0.0015355
173,13760.9,0.17361,0.12621,0.76345,0.98339,0.94237,0.98352,0.85275,0.59301,0.25789,0.84557,0.001486,0.001486,0.001486
174,13839.8,0.17085,0.12488,0.76248,0.98332,0.9424,0.98336,0.85289,0.59276,0.25748,0.84568,0.0014365,0.0014365,0.0014365
175,13918,0.16701,0.12234,0.76247,0.98336,0.94281,0.98336,0.85317,0.59264,0.25749,0.84571,0.001387,0.001387,0.001387
176,13997.1,0.16452,0.12018,0.76148,0.98386,0.94206,0.98328,0.85286,0.59257,0.25755,0.84582,0.0013375,0.0013375,0.0013375
177,14076.6,0.16076,0.1182,0.76172,0.98475,0.94185,0.98324,0.85323,0.59222,0.25725,0.84584,0.001288,0.001288,0.001288
178,14156,0.15911,0.11698,0.76119,0.98446,0.94221,0.98316,0.85313,0.59223,0.25726,0.84585,0.0012385,0.0012385,0.0012385
179,14235.4,0.15492,0.11433,0.76069,0.98486,0.94219,0.9831,0.85286,0.59253,0.25725,0.84591,0.001189,0.001189,0.001189
180,14314.5,0.15466,0.11408,0.76086,0.98453,0.94213,0.98309,0.85285,0.59244,0.25711,0.84595,0.0011395,0.0011395,0.0011395
181,14394,0.15073,0.11102,0.76003,0.98381,0.94262,0.98308,0.8527,0.59245,0.25729,0.846,0.00109,0.00109,0.00109
182,14473.1,0.14958,0.11056,0.75932,0.98357,0.94271,0.98316,0.85244,0.59258,0.25747,0.84603,0.0010405,0.0010405,0.0010405
183,14552.6,0.14592,0.10822,0.75925,0.98444,0.94114,0.98306,0.8523,0.59279,0.2575,0.84604,0.000991,0.000991,0.000991
